shock_type,intensity,structure,tau,K,seed,initial_fitness,final_fitness,improvement
poisson,0.333,H,0.5,5,1,0.4002562325591923,0.5880951812611699,0.1878389487019776
poisson,0.333,H,0.5,5,2,0.501422896514042,0.6172967582219964,0.11587386170795433
poisson,0.333,H,0.5,5,3,0.5364352192917913,0.49268803846819953,-0.04374718082359175
poisson,0.333,H,0.5,5,4,0.5808922596588849,0.8273836390639335,0.24649137940504862
poisson,0.333,H,0.5,5,5,0.5580038050669519,0.6190300958412108,0.06102629077425892
poisson,0.333,H,0.5,5,6,0.44787391698971296,0.6468982549364595,0.1990243379467465
poisson,0.333,H,0.5,5,7,0.39103329228439226,0.5199028176128402,0.12886952532844792
poisson,0.333,H,0.5,5,8,0.4959109453438495,0.5358314421814645,0.039920496837615005
poisson,0.333,H,0.5,5,9,0.42338413000924624,0.7079482195804241,0.28456408957117785
poisson,0.333,H,0.5,5,10,0.4380301164737109,0.5897318902157285,0.1517017737420176
poisson,0.333,H,0.5,10,1,0.5093361918662526,0.6564363715048198,0.14710017963856725
poisson,0.333,H,0.5,10,2,0.41253475696841485,0.5084071953450582,0.09587243837664333
poisson,0.333,H,0.5,10,3,0.4198884968708942,0.683324117668912,0.2634356207980178
poisson,0.333,H,0.5,10,4,0.45114282093015656,0.6109352481887758,0.1597924272586192
poisson,0.333,H,0.5,10,5,0.5037557437217103,0.7072566077556526,0.2035008640339423
poisson,0.333,H,0.5,10,6,0.5808098437862655,0.6897379055675547,0.10892806178128911
poisson,0.333,H,0.5,10,7,0.4942641412797383,0.6507348790203005,0.1564707377405622
poisson,0.333,H,0.5,10,8,0.5507384082415437,0.6505244056021477,0.099785997360604
poisson,0.333,H,0.5,10,9,0.5718871036512904,0.5834270400444073,0.0115399363931169
poisson,0.333,H,0.5,10,10,0.5061427820365881,0.6442778997600989,0.13813511772351073
poisson,0.333,H,0.8,2,1,0.4111181086249909,0.6728973968670415,0.26177928824205066
poisson,0.333,H,0.8,2,2,0.561491304338145,0.6959944238329903,0.13450311949484528
poisson,0.333,H,0.8,2,3,0.410869234326713,0.7074939641427759,0.29662472981606286
poisson,0.333,H,0.8,2,4,0.5227617367349703,0.7270426525898148,0.20428091585484454
poisson,0.333,H,0.8,2,5,0.506286241042288,0.6723244189034542,0.16603817786116615
poisson,0.333,H,0.8,2,6,0.5380795449775113,0.7126679643692421,0.17458841939173075
poisson,0.333,H,0.8,2,7,0.5325984122138806,0.5749056706408548,0.04230725842697425
poisson,0.333,H,0.8,2,8,0.4170475960912901,0.7690817245224361,0.35203412843114595
poisson,0.333,H,0.8,2,9,0.44683631563722825,0.6935068170684697,0.24667050143124147
poisson,0.333,H,0.8,2,10,0.5427029510987427,0.6831449528095451,0.14044200171080246
poisson,0.333,H,0.8,5,1,0.48357020426613084,0.7034739990932407,0.21990379482710987
poisson,0.333,H,0.8,5,2,0.5278253258901803,0.563454185539133,0.03562885964895268
poisson,0.333,H,0.8,5,3,0.4965422455642329,0.8166172178605512,0.3200749722963183
poisson,0.333,H,0.8,5,4,0.5981963319815882,0.6699439333367142,0.07174760135512603
poisson,0.333,H,0.8,5,5,0.5223677654034321,0.7502435414012196,0.22787577599778752
poisson,0.333,H,0.8,5,6,0.46305315737975766,0.7019016799256874,0.23884852254592975
poisson,0.333,H,0.8,5,7,0.44914123957101565,0.7220895148446961,0.27294827527368043
poisson,0.333,H,0.8,5,8,0.5218647155359927,0.7061451135495234,0.1842803980135307
poisson,0.333,H,0.8,5,9,0.576087864723593,0.6551410105598597,0.07905314583626677
poisson,0.333,H,0.8,5,10,0.4980406482658914,0.7048911715344036,0.20685052326851222
poisson,0.333,H,0.8,10,1,0.4092565237478748,0.7187250264971708,0.30946850274929605
poisson,0.333,H,0.8,10,2,0.42367324632393605,0.6650696825418682,0.2413964362179321
poisson,0.333,H,0.8,10,3,0.6251461345629983,0.5978524071909476,-0.027293727372050713
poisson,0.333,H,0.8,10,4,0.5890021094298045,0.5997940881321158,0.0107919787023113
poisson,0.333,H,0.8,10,5,0.5890502309089493,0.7289741521794352,0.13992392127048592
poisson,0.333,H,0.8,10,6,0.5244232912239393,0.6070899316318062,0.08266664040786698
poisson,0.333,H,0.8,10,7,0.3468202347021821,0.698139583457109,0.35131934875492693
poisson,0.333,H,0.8,10,8,0.4795043595004433,0.6733975840968146,0.19389322459637132
poisson,0.333,H,0.8,10,9,0.46430219664368105,0.6727790039745156,0.20847680733083457
poisson,0.333,H,0.8,10,10,0.5258208858885237,0.6055668215773516,0.07974593568882793
poisson,0.333,Hy,0.2,2,1,0.4669541609709168,0.7297577345030574,0.26280357353214057
poisson,0.333,Hy,0.2,2,2,0.45751007951983713,0.6261730726630157,0.16866299314317856
poisson,0.333,Hy,0.2,2,3,0.4735201303686289,0.5354112809167233,0.06189115054809441
poisson,0.333,Hy,0.2,2,4,0.46675313430686105,0.7004376904123338,0.23368455610547278
poisson,0.333,Hy,0.2,2,5,0.4337384807234927,0.5445511938405216,0.11081271311702895
poisson,0.333,Hy,0.2,2,6,0.5052569563806762,0.6085134753643635,0.10325651898368726
poisson,0.333,Hy,0.2,2,7,0.6443997579878035,0.49700199765833303,-0.14739776032947044
