structure,tau,K,seed,shock_every,initial_fitness,final_fitness,bank
Hy,0.2,5,10,100,0.4175470888150571,0.7137646791886084,A
Hy,0.2,10,1,100,0.5059376538022654,0.7701779516165479,A
Hy,0.2,10,2,100,0.4185104143421285,0.6637308880789411,A
Hy,0.2,10,3,100,0.2719205743174446,0.7684527514402777,A
Hy,0.2,10,4,100,0.4515245500415913,0.6594568119608395,A
Hy,0.2,10,5,100,0.5349857805035915,0.720276853924633,A
Hy,0.2,10,6,100,0.41138808260630244,0.7642094995776557,A
Hy,0.2,10,7,100,0.5594962401018119,0.7111035932493854,A
Hy,0.2,10,8,100,0.646995034064503,0.7305794511293011,A
Hy,0.2,10,9,100,0.5407467002929669,0.7017967120032157,A
Hy,0.2,10,10,100,0.5324018020439314,0.6971107584748164,A
Hy,0.5,2,1,100,0.5579613830107206,0.7162844001632692,A
Hy,0.5,2,2,100,0.5225553075723716,0.6638688927942061,A
Hy,0.5,2,3,100,0.6267026716052673,0.7455996289428888,A
Hy,0.5,2,4,100,0.5764673269870186,0.7448592470099495,A
Hy,0.5,2,5,100,0.45367531361329755,0.6831417134292452,A
Hy,0.5,2,6,100,0.48914900479434154,0.7844624753422667,A
Hy,0.5,2,7,100,0.4672251321156052,0.7164438616429505,A
Hy,0.5,2,8,100,0.5244002445680679,0.741210917679924,A
Hy,0.5,2,9,100,0.4007017797296126,0.714112216498854,A
Hy,0.5,2,10,100,0.5648658148759533,0.7869034886870048,A
Hy,0.5,5,1,100,0.4915912337449726,0.7515863258674046,A
Hy,0.5,5,2,100,0.5923572823653502,0.7761379498545331,A
Hy,0.5,5,3,100,0.5451931615707023,0.7497747852457491,A
Hy,0.5,5,4,100,0.6250515734585226,0.7513792907055925,A
Hy,0.5,5,5,100,0.5084778076817345,0.7692206847120143,A
Hy,0.5,5,6,100,0.5543592037653241,0.7008673674638312,A
Hy,0.5,5,7,100,0.4279885771722844,0.7483954463250015,A
Hy,0.5,5,8,100,0.7181478500028271,0.7332307089761662,A
Hy,0.5,5,9,100,0.510418228993934,0.7408033624898203,A
Hy,0.5,5,10,100,0.63891503443264,0.6980258532054393,A
Hy,0.5,10,1,100,0.3950126596077807,0.6741192526454317,A
Hy,0.5,10,2,100,0.49052083018840464,0.6874557605485995,A
Hy,0.5,10,3,100,0.5120571019269387,0.764704553946412,A
Hy,0.5,10,4,100,0.4975652253661951,0.6878188203154701,A
Hy,0.5,10,5,100,0.40073366642642355,0.7172200104097418,A
Hy,0.5,10,6,100,0.5101873227744342,0.7701948327136185,A
Hy,0.5,10,7,100,0.4909659922026383,0.7363636008213011,A
Hy,0.5,10,8,100,0.549282196427711,0.7013672214943466,A
Hy,0.5,10,9,100,0.4289642682792339,0.6987458078982638,A
Hy,0.5,10,10,100,0.3868329098648264,0.6995494325223208,A
Hy,0.8,2,1,100,0.5185395709273167,0.6852209255296754,A
Hy,0.8,2,2,100,0.6004111452724401,0.6980559379361673,A
Hy,0.8,2,3,100,0.4758075091194637,0.7455996289428888,A
Hy,0.8,2,4,100,0.48733076138283765,0.7561470521747163,A
Hy,0.8,2,5,100,0.5136651446543524,0.7250243049291851,A
Hy,0.8,2,6,100,0.5451488052078993,0.7844624753422667,A
Hy,0.8,2,7,100,0.6129244149025983,0.6913457777879024,A
Hy,0.8,2,8,100,0.48398122885325245,0.6727093933793393,A
Hy,0.8,2,9,100,0.5465740408217954,0.7316362379298791,A
Hy,0.8,2,10,100,0.49715799972352115,0.7450538912574827,A
Hy,0.8,5,1,100,0.7062674152763109,0.7062674152763109,A
Hy,0.8,5,2,100,0.49390127679159523,0.7149164502341984,A
Hy,0.8,5,3,100,0.4898648936609621,0.7961038337897011,A
Hy,0.8,5,4,100,0.5250133491399906,0.7378555187516199,A
Hy,0.8,5,5,100,0.47888455798694696,0.7757717286832498,A
Hy,0.8,5,6,100,0.45758736681658546,0.7282072180087997,A
Hy,0.8,5,7,100,0.43802553395932015,0.7265959558559888,A
Hy,0.8,5,8,100,0.5592016673224969,0.7115125442712787,A
Hy,0.8,5,9,100,0.6465793353614513,0.740238378992641,A
Hy,0.8,5,10,100,0.5038080688187538,0.7502244411150525,A
Hy,0.8,10,1,100,0.4952669327220791,0.6773483284195001,A
Hy,0.8,10,2,100,0.5032643404066945,0.693262789746245,A
Hy,0.8,10,3,100,0.6897937815167374,0.7423199696109248,A
Hy,0.8,10,4,100,0.47611492875583145,0.7041817072866488,A
Hy,0.8,10,5,100,0.4654644222726628,0.6899791965790193,A
Hy,0.8,10,6,100,0.4644848152653645,0.7803666007786788,A
Hy,0.8,10,7,100,0.5396269678605485,0.6997274964594056,A
Hy,0.8,10,8,100,0.46672089426132496,0.6732936279107476,A
Hy,0.8,10,9,100,0.4467664516369375,0.7135986956769071,A
Hy,0.8,10,10,100,0.4100227854622478,0.7476479677773528,A
V,0.2,2,1,40,0.5827640730506871,0.7414305284036439,A
V,0.2,2,2,40,0.45351850085756595,0.6187933484751983,A
V,0.2,2,3,40,0.6509046607971618,0.7022153700639997,A
V,0.2,2,4,40,0.5290361245900495,0.7352396139425955,A
V,0.2,2,5,40,0.536011197274824,0.6290316229547303,A
V,0.2,2,6,40,0.5730273355475497,0.76174851081754,A
V,0.2,2,7,40,0.5194462936220925,0.6865369652175468,A
V,0.2,2,8,40,0.43320872496943835,0.722340263205375,A
V,0.2,2,9,40,0.590391519201688,0.6750329696892224,A
V,0.2,2,10,40,0.5244270957323354,0.6597340183462715,A
V,0.2,5,1,40,0.4706906413555219,0.6963389151316564,A
V,0.2,5,2,40,0.427805880039335,0.7037783366341965,A
V,0.2,5,3,40,0.4281123763953329,0.7243568338016646,A
V,0.2,5,4,40,0.4768954066521015,0.6837833366000522,A
V,0.2,5,5,40,0.5036491133892683,0.6315700379479747,A
V,0.2,5,6,40,0.5460403173039636,0.7311353630274364,A
