structure,tau,K,seed,initial_fitness,final_fitness,peak_fitness,improvement,steps_to_95pct,N,n_agents,T
V,0.1,2,34,0.49864927107030627,0.7021259621547313,0.7021259621547313,0.20347669108442507,6,15,30,40
V,0.1,2,35,0.5954500959583631,0.7377031565957025,0.7377031565957025,0.14225306063733945,4,15,30,40
V,0.1,2,36,0.47200366128663707,0.6218742242939596,0.6218742242939596,0.1498705630073225,3,15,30,40
V,0.1,2,37,0.5208475659023862,0.691130930542784,0.691130930542784,0.17028336464039773,4,15,30,40
V,0.1,2,38,0.44879063750629367,0.7122158715515556,0.7122158715515556,0.26342523404526197,5,15,30,40
V,0.1,2,39,0.6286166301052228,0.725830461397098,0.725830461397098,0.09721383129187511,5,15,30,40
V,0.1,2,40,0.46329137104358425,0.633292606040886,0.633292606040886,0.17000123499730174,5,15,30,40
V,0.1,5,1,0.5704773118847002,0.7768092704460419,0.7768092704460419,0.20633195856134168,2,15,30,40
V,0.1,5,2,0.5373592586002743,0.641179159439216,0.641179159439216,0.10381990083894166,3,15,30,40
V,0.1,5,3,0.4218795910374145,0.679023999036351,0.679023999036351,0.2571444079989365,4,15,30,40
V,0.1,5,4,0.5147279525504549,0.7348715845440571,0.7348715845440571,0.2201436319936022,5,15,30,40
V,0.1,5,5,0.43540785555499845,0.6514746789012821,0.6514746789012821,0.21606682334628363,4,15,30,40
V,0.1,5,6,0.4883418386468807,0.6121753823530934,0.6121753823530934,0.12383354370621275,2,15,30,40
V,0.1,5,7,0.6019221290287929,0.6995414949944735,0.6995414949944735,0.09761936596568055,3,15,30,40
V,0.1,5,8,0.4063589376047909,0.7350061303527572,0.7350061303527572,0.3286471927479663,3,15,30,40
V,0.1,5,9,0.5584533660433441,0.7290750231128854,0.7290750231128854,0.17062165706954135,5,15,30,40
V,0.1,5,10,0.510489826651107,0.717096027903303,0.717096027903303,0.20660620125219598,3,15,30,40
V,0.1,5,11,0.3868447573822629,0.6966982353948159,0.6966982353948159,0.309853478012553,6,15,30,40
V,0.1,5,12,0.5531986359153401,0.8017331575342647,0.8017331575342647,0.24853452161892453,4,15,30,40
V,0.1,5,13,0.380242251539066,0.7205229748730857,0.7205229748730857,0.3402807233340197,3,15,30,40
V,0.1,5,14,0.4855399514385226,0.6583142456692102,0.6583142456692102,0.17277429423068758,2,15,30,40
V,0.1,5,15,0.398836211690732,0.6687591156039259,0.6687591156039259,0.26992290391319385,4,15,30,40
V,0.1,5,16,0.4999286475683627,0.7206090363954937,0.7206090363954937,0.22068038882713098,3,15,30,40
V,0.1,5,17,0.487960215715943,0.6686395179617161,0.6686395179617161,0.18067930224577305,3,15,30,40
V,0.1,5,18,0.3987669313774845,0.8030963861512234,0.8030963861512234,0.4043294547737389,5,15,30,40
V,0.1,5,19,0.5400628201755163,0.7561523986583373,0.7561523986583373,0.21608957848282095,3,15,30,40
V,0.1,5,20,0.4980922332910735,0.6547680997928065,0.6547680997928065,0.15667586650173299,3,15,30,40
V,0.1,5,21,0.5376720040356824,0.7008427023851242,0.7008427023851242,0.16317069834944187,4,15,30,40
V,0.1,5,22,0.408448658155279,0.639900234191576,0.639900234191576,0.23145157603629707,3,15,30,40
V,0.1,5,23,0.6242281403392307,0.6875918786878987,0.6875918786878987,0.06336373834866804,2,15,30,40
V,0.1,5,24,0.3920744662143204,0.726787005557291,0.726787005557291,0.3347125393429706,3,15,30,40
V,0.1,5,25,0.6031826955509559,0.7412024054940863,0.7412024054940863,0.1380197099431304,2,15,30,40
V,0.1,5,26,0.4806072160922995,0.6803265484747238,0.6803265484747238,0.19971933238242434,2,15,30,40
V,0.1,5,27,0.6048742047437088,0.6569205532715656,0.6569205532715656,0.052046348527856834,4,15,30,40
V,0.1,5,28,0.35110894405427434,0.6915976060697042,0.6915976060697042,0.3404886620154299,4,15,30,40
V,0.1,5,29,0.40237345847947803,0.7192130976360004,0.7192130976360004,0.31683963915652236,4,15,30,40
V,0.1,5,30,0.47493407749801775,0.7286991387154277,0.7286991387154277,0.25376506121740994,3,15,30,40
V,0.1,5,31,0.5222456658236188,0.7497053845667822,0.7497053845667822,0.2274597187431634,4,15,30,40
V,0.1,5,32,0.5906712360876886,0.793528337644974,0.793528337644974,0.20285710155728542,2,15,30,40
V,0.1,5,33,0.5615967196614373,0.6243667675355584,0.6243667675355584,0.0627700478741211,1,15,30,40
V,0.1,5,34,0.42536964286779777,0.7076972272781272,0.7076972272781272,0.28232758441032946,2,15,30,40
V,0.1,5,35,0.37232067569638166,0.7012810500518357,0.7012810500518357,0.32896037435545405,3,15,30,40
V,0.1,5,36,0.5836809802621639,0.6693242271997365,0.6693242271997365,0.08564324693757264,3,15,30,40
V,0.1,5,37,0.37070246401378654,0.6634233513619899,0.6634233513619899,0.2927208873482034,4,15,30,40
V,0.1,5,38,0.36343989632987755,0.6378813389114547,0.6378813389114547,0.27444144258157716,2,15,30,40
V,0.1,5,39,0.5639076863290428,0.7153424576398971,0.7153424576398971,0.15143477131085437,2,15,30,40
V,0.1,5,40,0.6292347491197631,0.6645594054773271,0.6645594054773271,0.03532465635756399,1,15,30,40
V,0.1,10,1,0.5267617594567374,0.7074532866860704,0.7074532866860704,0.18069152722933302,4,15,30,40
V,0.1,10,2,0.46477051260731167,0.637936482877281,0.637936482877281,0.17316597026996933,1,15,30,40
V,0.1,10,3,0.5071812302341706,0.6785080035133821,0.6785080035133821,0.17132677327921153,2,15,30,40
V,0.1,10,4,0.5180036565799483,0.6714878072033569,0.6714878072033569,0.1534841506234086,3,15,30,40
V,0.1,10,5,0.5940811245594538,0.6832874684318266,0.6832874684318266,0.0892063438723728,2,15,30,40
V,0.1,10,6,0.5210570858841773,0.7245774136232247,0.7245774136232247,0.20352032773904738,5,15,30,40
V,0.1,10,7,0.504109158198371,0.6632188284945537,0.6632188284945537,0.15910967029618273,7,15,30,40
V,0.1,10,8,0.531418221515788,0.7305794511293011,0.7305794511293011,0.19916122961351312,2,15,30,40
V,0.1,10,9,0.45247648464251655,0.6937251305806869,0.6937251305806869,0.2412486459381703,4,15,30,40
V,0.1,10,10,0.5264453438609332,0.6780985444291032,0.6780985444291032,0.15165320056817,1,15,30,40
V,0.1,10,11,0.5808446980431015,0.6746041967579559,0.6746041967579559,0.09375949871485445,1,15,30,40
V,0.1,10,12,0.4846975900605865,0.6713028154936275,0.6713028154936275,0.18660522543304098,3,15,30,40
V,0.1,10,13,0.3856025576895218,0.7556108131907657,0.7556108131907657,0.37000825550124394,2,15,30,40
V,0.1,10,14,0.5188357446481277,0.731456517714214,0.731456517714214,0.2126207730660864,2,15,30,40
V,0.1,10,15,0.5732840065988543,0.6369055914832445,0.6369055914832445,0.06362158488439029,1,15,30,40
V,0.1,10,16,0.4897486440807874,0.6421217498512237,0.6421217498512237,0.15237310577043633,2,15,30,40
V,0.1,10,17,0.438393533752044,0.6658205098675702,0.6658205098675702,0.22742697611552626,2,15,30,40
V,0.1,10,18,0.5578890664969021,0.6576523372821106,0.6576523372821106,0.09976327078520852,2,15,30,40
V,0.1,10,19,0.6040364937524783,0.6790575957380418,0.6790575957380418,0.07502110198556355,2,15,30,40
V,0.1,10,20,0.48265436600726236,0.5516369628755676,0.5516369628755676,0.06898259686830527,1,15,30,40
V,0.1,10,21,0.6368087419127482,0.7649525735245735,0.7649525735245735,0.1281438316118253,4,15,30,40
V,0.1,10,22,0.5286212616419486,0.690791564560797,0.690791564560797,0.16217030291884849,3,15,30,40
V,0.1,10,23,0.49393658028072707,0.6911731268096571,0.6911731268096571,0.19723654652893008,3,15,30,40
V,0.1,10,24,0.48094840623308704,0.6731470361503077,0.6731470361503077,0.19219862991722064,3,15,30,40
V,0.1,10,25,0.5460612024422881,0.6110296974313909,0.6110296974313909,0.06496849498910284,2,15,30,40
V,0.1,10,26,0.567085501339209,0.6492900162508736,0.6492900162508736,0.08220451491166458,1,15,30,40
V,0.1,10,27,0.6140138138834332,0.6352977878519283,0.6352977878519283,0.021283973968495018,1,15,30,40
V,0.1,10,28,0.5867609143125219,0.6510436298842167,0.6510436298842167,0.06428271557169485,1,15,30,40
V,0.1,10,29,0.6654347437409817,0.6654347437409817,0.6654347437409817,0.0,0,15,30,40
V,0.1,10,30,0.5716259753786661,0.6796977619887864,0.6796977619887864,0.10807178661012029,2,15,30,40
V,0.1,10,31,0.59023941231075,0.7239658828937782,0.7239658828937782,0.13372647058302822,1,15,30,40
V,0.1,10,32,0.43541445083482283,0.7608922261077262,0.7608922261077262,0.3254777752729034,2,15,30,40
V,0.1,10,33,0.5376129512039017,0.6443436726685998,0.6443436726685998,0.10673072146469809,2,15,30,40
V,0.1,10,34,0.6247113812605679,0.6763497652158205,0.6763497652158205,0.051638383955252554,1,15,30,40
V,0.1,10,35,0.5486190402529142,0.6695249455832134,0.6695249455832134,0.12090590533029921,2,15,30,40
V,0.1,10,36,0.4719804038723997,0.6868612016839512,0.6868612016839512,0.21488079781155145,3,15,30,40
V,0.1,10,37,0.5970838371674811,0.6778889232076826,0.6778889232076826,0.08080508604020142,2,15,30,40
V,0.1,10,38,0.5586210161666536,0.7360168605490355,0.7360168605490355,0.17739584438238187,2,15,30,40
V,0.1,10,39,0.4260086589773148,0.6390073980263283,0.6390073980263283,0.2129987390490135,2,15,30,40
V,0.1,10,40,0.47590413257994035,0.6878122313850181,0.6878122313850181,0.21190809880507777,1,15,30,40
V,0.2,2,1,0.4253498532463074,0.7162844001632692,0.7162844001632692,0.2909345469169618,6,15,30,40
V,0.2,2,2,0.45083766210112053,0.7263093646959552,0.7263093646959552,0.27547170259483467,5,15,30,40
V,0.2,2,3,0.47452769099086217,0.6652581289562715,0.6652581289562715,0.19073043796540928,3,15,30,40
