structure,tau,K,seed,initial_fitness,final_fitness,peak_fitness,improvement,steps_to_95pct,N,n_agents,T,fragmentation_cost,sweep,n_agents_setting
V,0.1,10,15,0.5732840065988543,0.6369055914832445,0.6369055914832445,0.06362158488439029,1,15,30,40,0.1,fragmentation_cost,
V,0.1,10,16,0.4897486440807874,0.6421217498512237,0.6421217498512237,0.15237310577043633,2,15,30,40,0.1,fragmentation_cost,
V,0.1,10,17,0.438393533752044,0.6658205098675702,0.6658205098675702,0.22742697611552626,2,15,30,40,0.1,fragmentation_cost,
V,0.1,10,18,0.5578890664969021,0.6576523372821106,0.6576523372821106,0.09976327078520852,2,15,30,40,0.1,fragmentation_cost,
V,0.1,10,19,0.6040364937524783,0.6790575957380418,0.6790575957380418,0.07502110198556355,2,15,30,40,0.1,fragmentation_cost,
V,0.1,10,20,0.48265436600726236,0.5516369628755676,0.5516369628755676,0.06898259686830527,1,15,30,40,0.1,fragmentation_cost,
V,0.2,2,1,0.4253498532463074,0.7162844001632692,0.7162844001632692,0.2909345469169618,6,15,30,40,0.1,fragmentation_cost,
V,0.2,2,2,0.45083766210112053,0.7263093646959552,0.7263093646959552,0.27547170259483467,5,15,30,40,0.1,fragmentation_cost,
V,0.2,2,3,0.47452769099086217,0.6652581289562715,0.6652581289562715,0.19073043796540928,3,15,30,40,0.1,fragmentation_cost,
V,0.2,2,4,0.41262317419226024,0.7561470521747163,0.7561470521747163,0.3435238779824561,5,15,30,40,0.1,fragmentation_cost,
V,0.2,2,5,0.5441292984668524,0.660401079370227,0.660401079370227,0.11627178090337453,3,15,30,40,0.1,fragmentation_cost,
V,0.2,2,6,0.5508891091124236,0.7384468253359394,0.7384468253359394,0.1875577162235158,4,15,30,40,0.1,fragmentation_cost,
V,0.2,2,7,0.6273857452351862,0.7112545395082974,0.7112545395082974,0.08386879427311122,4,15,30,40,0.1,fragmentation_cost,
V,0.2,2,8,0.41082218513828955,0.741210917679924,0.741210917679924,0.3303887325416344,7,15,30,40,0.1,fragmentation_cost,
V,0.2,2,9,0.4588629641796948,0.7316362379298791,0.7316362379298791,0.2727732737501843,9,15,30,40,0.1,fragmentation_cost,
V,0.2,2,10,0.5125463358251451,0.7869034886870048,0.7869034886870048,0.2743571528618597,5,15,30,40,0.1,fragmentation_cost,
V,0.2,2,11,0.47210602765506643,0.7345564698374677,0.7345564698374677,0.26245044218240127,7,15,30,40,0.1,fragmentation_cost,
V,0.2,2,12,0.4652292265765749,0.6721830906760108,0.6721830906760108,0.2069538640994359,4,15,30,40,0.1,fragmentation_cost,
V,0.2,2,13,0.623882799462688,0.7402293542930714,0.7402293542930714,0.11634655483038336,6,15,30,40,0.1,fragmentation_cost,
V,0.2,2,14,0.4503359291381266,0.6734095163845466,0.6734095163845466,0.22307358724642,8,15,30,40,0.1,fragmentation_cost,
V,0.2,2,15,0.3929861090266314,0.7104331769822587,0.7104331769822587,0.3174470679556273,6,15,30,40,0.1,fragmentation_cost,
V,0.2,2,16,0.5524229533132016,0.7539411129429768,0.7539411129429768,0.20151815962977526,7,15,30,40,0.1,fragmentation_cost,
V,0.2,2,17,0.44142538097902695,0.6360712820620158,0.6360712820620158,0.19464590108298885,5,15,30,40,0.1,fragmentation_cost,
V,0.2,2,18,0.5477497695141271,0.6812501788614961,0.6812501788614961,0.13350040934736895,6,15,30,40,0.1,fragmentation_cost,
