structure,tau,K,seed,initial_fitness,final_fitness,peak_fitness,improvement,N,n_agents,T,shock_every,reshuffle_frac
V,0.2,10,7,0.5390014620930665,0.7308231857693179,0.7308231857693179,0.1918217236762514,15,30,40,10,0.25
V,0.2,10,8,0.4519689464464144,0.6203075927021022,0.6862156916883707,0.16833864625568784,15,30,40,10,0.25
V,0.2,10,9,0.450185246953829,0.6586200519237444,0.7539767403560567,0.2084348049699154,15,30,40,10,0.25
V,0.2,10,10,0.5531538239125695,0.670747726426822,0.6953829910453919,0.1175939025142525,15,30,40,10,0.25
V,0.2,10,11,0.42344331319245776,0.7098804695224945,0.7131802685814086,0.28643715633003675,15,30,40,10,0.25
V,0.2,10,12,0.5944009950676137,0.6968992176996842,0.8117646295218974,0.10249822263207053,15,30,40,10,0.25
V,0.2,10,13,0.4881202806611341,0.6753504416536793,0.7358582541500881,0.1872301609925452,15,30,40,10,0.25
V,0.2,10,14,0.5210698771598452,0.6439918041130069,0.7124642548409362,0.12292192695316173,15,30,40,10,0.25
V,0.2,10,15,0.5055397095107571,0.6954225518053422,0.6954225518053422,0.18988284229458507,15,30,40,10,0.25
V,0.2,10,16,0.622804513101313,0.6571679173535812,0.6929110473155606,0.03436340425226814,15,30,40,10,0.25
V,0.2,10,17,0.5115389154227837,0.6597173131700915,0.671058513308797,0.1481783977473078,15,30,40,10,0.25
V,0.2,10,18,0.411199884140423,0.6919480641805996,0.7159880155351223,0.2807481800401766,15,30,40,10,0.25
V,0.2,10,19,0.5009741351666961,0.646156074892079,0.668546291020287,0.14518193972538296,15,30,40,10,0.25
V,0.2,10,20,0.5200339409271162,0.7245393499528071,0.7245393499528071,0.20450540902569092,15,30,40,10,0.25
V,0.3,2,1,0.5369057301505932,0.6494460765589191,0.7480154521671695,0.11254034640832589,15,30,40,10,0.25
V,0.3,2,2,0.521107373344696,0.7976605639063751,0.7976605639063751,0.27655319056167904,15,30,40,10,0.25
V,0.3,2,3,0.5898222996096718,0.7007384775386221,0.730698734429252,0.11091617792895025,15,30,40,10,0.25
V,0.3,2,4,0.48371051166401685,0.7487395172137888,0.7590140324970063,0.265029005549772,15,30,40,10,0.25
