structure,tau,K,seed,shock_every,initial_fitness,final_fitness
V,0.8,10,8,100,0.5284267698812203,0.6633113019657799
V,0.8,10,9,100,0.7051163194061266,0.7051163194061266
V,0.8,10,10,100,0.4968773032378229,0.6739952256062023
V,0.8,10,11,100,0.4030614508439181,0.7011650636132833
V,0.8,10,12,100,0.45309700253595414,0.73287901809679
V,0.8,10,13,100,0.505209890797507,0.6524945188025764
V,0.8,10,14,100,0.5081662039342049,0.6717421148029111
V,0.8,10,15,100,0.44896082512085667,0.6800583592185838
V,0.8,10,16,100,0.5360912192382737,0.6250461831371585
V,0.8,10,17,100,0.47438899707565163,0.6900495701174343
V,0.8,10,18,100,0.43229034304601616,0.6341370182629703
V,0.8,10,19,100,0.6428927100709689,0.6428927100709689
V,0.8,10,20,100,0.4529467669216575,0.7255061190705944
V,0.8,10,21,100,0.5263419106958925,0.7401377566691036
V,0.8,10,22,100,0.4209090406244862,0.6648047416666821
V,0.8,10,23,100,0.8080350599703953,0.8080350599703953
V,0.8,10,24,100,0.5768224669459965,0.7372943096990011
V,0.8,10,25,100,0.5221270373212127,0.668312402801071
V,0.8,10,26,100,0.49182481173032666,0.7531847937287535
V,0.8,10,27,100,0.5608133937602381,0.7629657740861963
V,0.8,10,28,100,0.48108676725132477,0.6933732016774389
V,0.8,10,29,100,0.514904889121732,0.6842641718475103
V,0.8,10,30,100,0.38257767833644746,0.7375426992637294
V,0.2,2,1,40,0.5608079749080924,0.7867417975437824
V,0.2,2,2,40,0.5878464653668722,0.628773426144459
V,0.2,2,3,40,0.5326562886674577,0.6825219192876122
V,0.2,2,4,40,0.5714073915416403,0.7309516673427109
V,0.2,2,5,40,0.537096836234222,0.5780720380858432
V,0.2,2,6,40,0.5775577867636196,0.6952611530456347
V,0.2,2,7,40,0.3834823220933094,0.7568084949063715
V,0.2,2,8,40,0.5411138964938791,0.6909557228422007
V,0.2,2,9,40,0.413514791935026,0.6833264038014699
V,0.2,2,10,40,0.4816745095047849,0.671552519557797
V,0.2,2,11,40,0.34427899458902395,0.7252497998485854
V,0.2,2,12,40,0.5388760366069197,0.6760415949755157
V,0.2,2,13,40,0.5875315589582617,0.6354028865615319
V,0.2,2,14,40,0.4028101310740887,0.6901496058155963
V,0.2,2,15,40,0.5424467894160513,0.6634936707506154
V,0.2,2,16,40,0.4914005191405547,0.6379327899201592
V,0.2,2,17,40,0.5138392593349564,0.736206060932746
V,0.2,2,18,40,0.5132182329017687,0.7384792173831982
V,0.2,2,19,40,0.45492284637685787,0.7641570175028811
V,0.2,2,20,40,0.5139836561096272,0.740506539060236
