heterogeneity,structure,tau,K,seed,shock_every,final_fitness
mild,Hy,0.5,5,11,100,0.7071460693870839
mild,Hy,0.5,5,11,10,0.7750641102417666
mild,Hy,0.5,5,11,3,0.7014561756131814
mild,Hy,0.5,5,12,100,0.7549689116109671
mild,Hy,0.5,5,12,10,0.6350829266212694
mild,Hy,0.5,5,12,3,0.6903614734551444
mild,Hy,0.5,5,13,100,0.6896032166444002
mild,Hy,0.5,5,13,10,0.7237510654173469
mild,Hy,0.5,5,13,3,0.743202971337228
mild,Hy,0.5,5,14,100,0.7373859626199596
mild,Hy,0.5,5,14,10,0.7679110252649423
mild,Hy,0.5,5,14,3,0.7472802390465361
mild,Hy,0.5,5,15,100,0.7418449106712971
mild,Hy,0.5,5,15,10,0.6794081400099213
mild,Hy,0.5,5,15,3,0.57078966423064
mild,Hy,0.5,5,16,100,0.7479698493955518
mild,Hy,0.5,5,16,10,0.643017547487722
mild,Hy,0.5,5,16,3,0.684706213238548
mild,Hy,0.5,5,17,100,0.6945925786469458
mild,Hy,0.5,5,17,10,0.7243580447017557
mild,Hy,0.5,5,17,3,0.7560892534099185
mild,Hy,0.5,5,18,100,0.8030963861512234
mild,Hy,0.5,5,18,10,0.5715771339933337
mild,Hy,0.5,5,18,3,0.6650974593889605
mild,Hy,0.5,5,19,100,0.8034423655354307
mild,Hy,0.5,5,19,10,0.7299648345454766
mild,Hy,0.5,5,19,3,0.7743919788258782
mild,Hy,0.5,5,20,100,0.7668748826567101
mild,Hy,0.5,5,20,10,0.7054344873435754
mild,Hy,0.5,5,20,3,0.5824879315321435
skewed,V,0.5,5,1,100,0.6731416345093729
skewed,V,0.5,5,1,10,0.6958218330327538
skewed,V,0.5,5,1,3,0.6485382722822834
skewed,V,0.5,5,2,100,0.7069079291120025
skewed,V,0.5,5,2,10,0.6433498619485277
skewed,V,0.5,5,2,3,0.798882383968934
skewed,V,0.5,5,3,100,0.6622461383689572
skewed,V,0.5,5,3,10,0.7511947872715548
skewed,V,0.5,5,3,3,0.7002573625270071
skewed,V,0.5,5,4,100,0.7396284155448821
skewed,V,0.5,5,4,10,0.7349304789313893
skewed,V,0.5,5,4,3,0.6817028407327543
skewed,V,0.5,5,5,100,0.6353473178668599
skewed,V,0.5,5,5,10,0.7632575201847849
skewed,V,0.5,5,5,3,0.7167731301471145
skewed,V,0.5,5,6,100,0.7008673674638312
skewed,V,0.5,5,6,10,0.659387187309773
skewed,V,0.5,5,6,3,0.6388718310542588
skewed,V,0.5,5,7,100,0.685809645780907
skewed,V,0.5,5,7,10,0.6763254713794444
skewed,V,0.5,5,7,3,0.7615238133267164
skewed,V,0.5,5,8,100,0.7158018719661442
skewed,V,0.5,5,8,10,0.6338093310227388
skewed,V,0.5,5,8,3,0.6949377744730252
skewed,V,0.5,5,9,100,0.7189149530337493
skewed,V,0.5,5,9,10,0.6839378637834914
skewed,V,0.5,5,9,3,0.6576987933220341
skewed,V,0.5,5,10,100,0.6783873012209388
skewed,V,0.5,5,10,10,0.6520832734614169
skewed,V,0.5,5,10,3,0.7078910108266213
skewed,V,0.5,5,11,100,0.7115879402812181
skewed,V,0.5,5,11,10,0.755974600369746
skewed,V,0.5,5,11,3,0.6770092474264954
skewed,V,0.5,5,12,100,0.6178648965110295
skewed,V,0.5,5,12,10,0.7648866701730287
skewed,V,0.5,5,12,3,0.6867125122641787
skewed,V,0.5,5,13,100,0.7093097042958189
skewed,V,0.5,5,13,10,0.6823848739359243
skewed,V,0.5,5,13,3,0.7340407481914814
skewed,V,0.5,5,14,100,0.7669995993362401
skewed,V,0.5,5,14,10,0.7535872770072618
skewed,V,0.5,5,14,3,0.7109937180994084
skewed,V,0.5,5,15,100,0.7560076280872922
skewed,V,0.5,5,15,10,0.6560646592639936
skewed,V,0.5,5,15,3,0.6751430921158191
skewed,V,0.5,5,16,100,0.688396488248474
skewed,V,0.5,5,16,10,0.6757471659056853
skewed,V,0.5,5,16,3,0.6412871514607232
skewed,V,0.5,5,17,100,0.7529652593058057
skewed,V,0.5,5,17,10,0.6902448776882104
skewed,V,0.5,5,17,3,0.6869695619612093
skewed,V,0.5,5,18,100,0.8030963861512234
