structure,tau,K,seed,shock_every,reshuffle_frac,initial_fitness,final_fitness,improvement,N,n_agents,T
V,0.5,10,24,100,0.25,0.4791039872730408,0.7198147183562935,0.2407107310832527,15,30,40
V,0.5,10,25,100,0.25,0.47386353150424443,0.6410449018568821,0.1671813703526377,15,30,40
V,0.5,10,26,100,0.25,0.5880258836093293,0.7164695421523098,0.12844365854298057,15,30,40
V,0.5,10,27,100,0.25,0.44361479082255395,0.7017747904600106,0.2581599996374566,15,30,40
V,0.5,10,28,100,0.25,0.6013885674728655,0.6013885674728655,0.0,15,30,40
V,0.5,10,29,100,0.25,0.5924015312206408,0.6260748370780326,0.03367330585739181,15,30,40
V,0.5,10,30,100,0.25,0.389664283079946,0.7082864583399078,0.3186221752599618,15,30,40
V,0.8,2,1,100,0.25,0.5627783564654967,0.7162844001632692,0.15350604369777254,15,30,40
V,0.8,2,2,100,0.25,0.5817462185779013,0.6900190702048455,0.10827285162694422,15,30,40
V,0.8,2,3,100,0.25,0.45767658283616613,0.6866699088994229,0.22899332606325679,15,30,40
V,0.8,2,4,100,0.25,0.6090704128131648,0.7561470521747163,0.14707663936155158,15,30,40
V,0.8,2,5,100,0.25,0.5173914005191146,0.6831417134292452,0.16575031291013065,15,30,40
V,0.8,2,6,100,0.25,0.7174196697530613,0.7940393794639249,0.07661970971086363,15,30,40
V,0.8,2,7,100,0.25,0.5313156328964234,0.6708766877125696,0.13956105481614622,15,30,40
V,0.8,2,8,100,0.25,0.6067010015275938,0.741210917679924,0.1345099161523302,15,30,40
V,0.8,2,9,100,0.25,0.5256393318896785,0.7316362379298791,0.2059969060402006,15,30,40
V,0.8,2,10,100,0.25,0.4348113684587699,0.7072754445537098,0.27246407609493994,15,30,40
V,0.8,2,11,100,0.25,0.36825132543109,0.7345564698374677,0.3663051444063777,15,30,40
V,0.8,2,12,100,0.25,0.5619873875760831,0.7033570916516745,0.14136970407559135,15,30,40
V,0.8,2,13,100,0.25,0.6452847706852791,0.7149879102799814,0.06970313959470231,15,30,40
V,0.8,2,14,100,0.25,0.592369160647161,0.6734095163845466,0.08104035573738555,15,30,40
V,0.8,2,15,100,0.25,0.5906393826530977,0.650057554041167,0.059418171388069374,15,30,40
V,0.8,2,16,100,0.25,0.5122088747887175,0.7283237969947095,0.21611492220599204,15,30,40
V,0.8,2,17,100,0.25,0.4744501644405375,0.6867902460242974,0.2123400815837599,15,30,40
V,0.8,2,18,100,0.25,0.448221541880617,0.6773502367758252,0.22912869489520815,15,30,40
V,0.8,2,19,100,0.25,0.5864874348670757,0.6181288160198252,0.031641381152749504,15,30,40
V,0.8,2,20,100,0.25,0.5490385398785986,0.6830646173325154,0.13402607745391681,15,30,40
V,0.8,2,21,100,0.25,0.5222984758864324,0.7632557101900648,0.24095723430363236,15,30,40
V,0.8,2,22,100,0.25,0.5905037893833855,0.7648875044470136,0.17438371506362804,15,30,40
V,0.8,2,23,100,0.25,0.5315592125331262,0.770955141736176,0.23939592920304975,15,30,40
V,0.8,2,24,100,0.25,0.4646154230807194,0.704579550194217,0.23996412711349763,15,30,40
V,0.8,2,25,100,0.25,0.2698422947263281,0.6999594698184904,0.43011717509216235,15,30,40
V,0.8,2,26,100,0.25,0.4573935753746425,0.734432926609852,0.27703935123520956,15,30,40
V,0.8,2,27,100,0.25,0.5491391399240354,0.7242492783621578,0.1751101384381224,15,30,40
V,0.8,2,28,100,0.25,0.6819408586328389,0.7832528516645012,0.10131199303166227,15,30,40
V,0.8,2,29,100,0.25,0.3699714893656543,0.6655569491863508,0.29558545982069645,15,30,40
V,0.8,2,30,100,0.25,0.5687254468869735,0.6997073415466514,0.1309818946596779,15,30,40
V,0.8,5,1,100,0.25,0.5307941864385481,0.7515863258674046,0.22079213942885645,15,30,40
V,0.8,5,2,100,0.25,0.6059259783474038,0.7097581996098554,0.10383222126245162,15,30,40
V,0.8,5,3,100,0.25,0.538077980740768,0.6830694220446573,0.1449914413038893,15,30,40
V,0.8,5,4,100,0.25,0.5618626980875425,0.7181845385642512,0.15632184047670872,15,30,40
V,0.8,5,5,100,0.25,0.4900846956589131,0.7600854998498172,0.2700008041909041,15,30,40
V,0.8,5,6,100,0.25,0.5741877214521999,0.7475709469482138,0.17338322549601393,15,30,40
V,0.8,5,7,100,0.25,0.5627607977549511,0.6684920202364514,0.10573122248150024,15,30,40
V,0.8,5,8,100,0.25,0.41556251153945284,0.6969553332494588,0.28139282171000596,15,30,40
V,0.8,5,9,100,0.25,0.5321821946454317,0.6948407417438769,0.16265854709844518,15,30,40
V,0.8,5,10,100,0.25,0.6159336907621308,0.73882794076321,0.12289425000107923,15,30,40
V,0.8,5,11,100,0.25,0.5529034534773907,0.6398578371209015,0.08695438364351082,15,30,40
V,0.8,5,12,100,0.25,0.5803389478907384,0.7576984514577827,0.17735950356704433,15,30,40
V,0.8,5,13,100,0.25,0.5635336729576161,0.7205229748730857,0.15698930191546956,15,30,40
V,0.8,5,14,100,0.25,0.57675320987251,0.7276321513363845,0.15087894146387448,15,30,40
V,0.8,5,15,100,0.25,0.5742933988724356,0.7551145155473079,0.18082111667487233,15,30,40
V,0.8,5,16,100,0.25,0.5830273642887033,0.6900563834187653,0.10702901913006202,15,30,40
V,0.8,5,17,100,0.25,0.6275810990123227,0.6945925786469458,0.06701147963462306,15,30,40
V,0.8,5,18,100,0.25,0.4317802240635331,0.6885471799222277,0.2567669558586946,15,30,40
V,0.8,5,19,100,0.25,0.3291196989918427,0.6401670142505977,0.31104731525875506,15,30,40
V,0.8,5,20,100,0.25,0.5633803304620095,0.6970190177448372,0.13363868728282768,15,30,40
V,0.8,5,21,100,0.25,0.6032903799580677,0.6869768268406572,0.08368644688258953,15,30,40
V,0.8,5,22,100,0.25,0.6071239536122202,0.6971442997167671,0.0900203461045469,15,30,40
V,0.8,5,23,100,0.25,0.5636046222065606,0.6890651758974907,0.12546055369093012,15,30,40
V,0.8,5,24,100,0.25,0.4955404965917309,0.6475021207146692,0.1519616241229383,15,30,40
V,0.8,5,25,100,0.25,0.5588043959403916,0.7249804491691333,0.16617605322874174,15,30,40
V,0.8,5,26,100,0.25,0.6174144310241502,0.7277990999419351,0.11038466891778498,15,30,40
V,0.8,5,27,100,0.25,0.6336503801259017,0.7128418970144125,0.07919151688851078,15,30,40
V,0.8,5,28,100,0.25,0.42972659492714826,0.6853385017186161,0.25561190679146784,15,30,40
V,0.8,5,29,100,0.25,0.6364479918593543,0.7274281420854576,0.09098015022610328,15,30,40
V,0.8,5,30,100,0.25,0.4870694502119294,0.7111201234999279,0.22405067328799855,15,30,40
V,0.8,10,1,100,0.25,0.5565054864887543,0.662774501704895,0.10626901521614074,15,30,40
V,0.8,10,2,100,0.25,0.47203183563124795,0.6867111344963533,0.2146792988651054,15,30,40
V,0.8,10,3,100,0.25,0.4245437974502787,0.7139350983696974,0.28939130091941867,15,30,40
V,0.8,10,4,100,0.25,0.49222058704131033,0.6504452515249436,0.15822466448363326,15,30,40
V,0.8,10,5,100,0.25,0.49970989164698326,0.7051282753410578,0.20541838369407456,15,30,40
V,0.8,10,6,100,0.25,0.4254320914227632,0.6377598940443469,0.21232780262158363,15,30,40
V,0.8,10,7,100,0.25,0.5460773946109893,0.6744507126916026,0.12837331808061336,15,30,40
V,0.8,10,8,100,0.25,0.5555915529870952,0.7420239968891907,0.18643244390209557,15,30,40
V,0.8,10,9,100,0.25,0.4970020486273609,0.6720636549329054,0.17506160630554451,15,30,40
V,0.8,10,10,100,0.25,0.5572341192851563,0.7212258606813542,0.16399174139619788,15,30,40
V,0.8,10,11,100,0.25,0.5444270090490761,0.6591875645175375,0.11476055546846131,15,30,40
V,0.8,10,12,100,0.25,0.42023475515909364,0.6658272531833371,0.2455924980242435,15,30,40
V,0.8,10,13,100,0.25,0.48506653438678876,0.7078218714546765,0.2227553370678877,15,30,40
V,0.8,10,14,100,0.25,0.5078533382555628,0.6295689764615602,0.1217156382059974,15,30,40
V,0.8,10,15,100,0.25,0.3999478066201149,0.7526881004237992,0.35274029380368427,15,30,40
V,0.8,10,16,100,0.25,0.5090722334243245,0.703961838472831,0.1948896050485065,15,30,40
V,0.8,10,17,100,0.25,0.3882716592382946,0.645326815906911,0.2570551566686164,15,30,40
