structure,tau,K,seed,initial_fitness,final_fitness,peak_fitness,improvement,steps_to_95pct,n_improvements,n_stalls,N,n_agents,T
V,0.9,5,20,0.37549945441123783,0.7438725070926896,0.7438725070926896,0.36837305268145176,5,6,34,15,30,40
V,0.9,5,21,0.6178980441110592,0.6948291446583018,0.6948291446583018,0.07693110054724261,2,2,38,15,30,40
V,0.9,5,22,0.3881463701411436,0.7103261931911713,0.7103261931911713,0.3221798230500277,5,5,35,15,30,40
V,0.9,5,23,0.5094724528443848,0.6851184026505065,0.6851184026505065,0.1756459498061217,2,2,38,15,30,40
V,0.9,5,24,0.39981191996545196,0.719722024996631,0.719722024996631,0.319910105031179,4,4,36,15,30,40
V,0.9,5,25,0.6557162504222483,0.7107104060581305,0.7107104060581305,0.05499415563588217,1,1,39,15,30,40
V,0.9,5,26,0.5985513614552411,0.7339758118222238,0.7339758118222238,0.1354244503669827,3,3,37,15,30,40
V,0.9,5,27,0.5391298968073774,0.766763273449447,0.766763273449447,0.2276333766420695,3,3,37,15,30,40
V,0.9,5,28,0.4796260620641245,0.7029610386482619,0.7029610386482619,0.22333497658413737,3,3,37,15,30,40
V,0.9,5,29,0.4367674891040015,0.6451083789865882,0.6451083789865882,0.20834088988258676,2,2,38,15,30,40
V,0.9,5,30,0.45251947787680213,0.6847346374980352,0.6847346374980352,0.23221515962123307,4,5,35,15,30,40
V,0.9,5,31,0.5527216384901433,0.7354582143569428,0.7354582143569428,0.18273657586679948,4,4,36,15,30,40
V,0.9,5,32,0.44632443517879905,0.7541249780046184,0.7541249780046184,0.30780054282581937,4,4,36,15,30,40
V,0.9,5,33,0.3608768798842419,0.705207406631794,0.705207406631794,0.34433052674755216,5,6,34,15,30,40
V,0.9,5,34,0.5465802911345254,0.7630804565889778,0.7630804565889778,0.2165001654544524,3,3,37,15,30,40
V,0.9,5,35,0.4573232951037024,0.7209087822406115,0.7209087822406115,0.2635854871369091,5,6,34,15,30,40
V,0.9,5,36,0.4608826134612814,0.734081649527317,0.734081649527317,0.2731990360660356,3,3,37,15,30,40
V,0.9,5,37,0.6249980433511095,0.7438910730826109,0.7438910730826109,0.1188930297315014,3,3,37,15,30,40
V,0.9,5,38,0.5530727791970048,0.6122715459896447,0.6122715459896447,0.05919876679263991,1,1,39,15,30,40
V,0.9,5,39,0.4550888218359465,0.7999041812602522,0.7999041812602522,0.3448153594243057,7,7,33,15,30,40
V,0.9,5,40,0.5440675728097357,0.7019308504961228,0.7019308504961228,0.15786327768638708,3,3,37,15,30,40
V,0.9,10,1,0.5214461794032984,0.6690482306695917,0.6690482306695917,0.14760205126629333,1,1,39,15,30,40
V,0.9,10,2,0.5266225015063885,0.6800014557125316,0.6800014557125316,0.15337895420614311,4,4,36,15,30,40
V,0.9,10,3,0.56708468416035,0.6795401864319844,0.6795401864319844,0.11245550227163448,2,2,38,15,30,40
V,0.9,10,4,0.5621532981652729,0.6999166372647244,0.6999166372647244,0.1377633390994515,3,3,37,15,30,40
V,0.9,10,5,0.40968872419489555,0.7282053917916685,0.7282053917916685,0.318516667596773,2,2,38,15,30,40
V,0.9,10,6,0.525657921081438,0.7021737497317566,0.7021737497317566,0.17651582865031856,1,1,39,15,30,40
V,0.9,10,7,0.47254810724579177,0.6588381268941679,0.6588381268941679,0.1862900196483761,2,2,38,15,30,40
V,0.9,10,8,0.5716109039559762,0.7572899629899245,0.7572899629899245,0.1856790590339482,3,3,37,15,30,40
V,0.9,10,9,0.4964481291385863,0.7335850282520996,0.7335850282520996,0.23713689911351327,4,4,36,15,30,40
V,0.9,10,10,0.5050726296857021,0.7212258606813542,0.7212258606813542,0.2161532309956521,3,3,37,15,30,40
V,0.9,10,11,0.450916028422035,0.7341058418128472,0.7341058418128472,0.28318981339081223,3,3,37,15,30,40
V,0.9,10,12,0.4501084330466352,0.7139208898865986,0.7139208898865986,0.2638124568399634,2,2,38,15,30,40
V,0.9,10,13,0.5209678180798734,0.6782641398845577,0.6782641398845577,0.15729632180468434,3,3,37,15,30,40
V,0.9,10,14,0.5923887979940958,0.6810363735003198,0.6810363735003198,0.08864757550622393,2,2,38,15,30,40
V,0.9,10,15,0.38663765038974934,0.6342245602020538,0.6342245602020538,0.2475869098123044,1,1,39,15,30,40
V,0.9,10,16,0.49122302478442725,0.680138357229393,0.680138357229393,0.18891533244496572,2,2,38,15,30,40
V,0.9,10,17,0.39529082471922894,0.6483748073562823,0.6483748073562823,0.25308398263705334,2,2,38,15,30,40
V,0.9,10,18,0.5563880616935555,0.6310476462783918,0.6310476462783918,0.07465958458483635,1,1,39,15,30,40
V,0.9,10,19,0.4985285477055618,0.6650578564132673,0.6650578564132673,0.1665293087077055,1,1,39,15,30,40
V,0.9,10,20,0.5132222240116183,0.6735929498940953,0.6735929498940953,0.16037072588247703,2,2,38,15,30,40
V,0.9,10,21,0.516129790845232,0.6467974456199418,0.6467974456199418,0.13066765477470976,2,2,38,15,30,40
V,0.9,10,22,0.4619552628183539,0.6984933513919592,0.6984933513919592,0.2365380885736053,1,1,39,15,30,40
V,0.9,10,23,0.5445678706865106,0.6617348801060864,0.6617348801060864,0.11716700941957581,2,2,38,15,30,40
