symbol,year,net_income,total_assets,ROA,employees,market_cap,sector_yf,founded,sector_gics,cik
APA,2024,804000000.0,19390000000.0,0.04146467251160392,1791.0,13287855104,Energy,1954,Energy,0001841666
APA,2023,2855000000.0,15244000000.0,0.18728680136447126,1791.0,13287855104,Energy,1954,Energy,0001841666
APA,2022,3604000000.0,13147000000.0,0.2741309804518141,1791.0,13287855104,Energy,1954,Energy,0001841666
APA,2021,,,,1791.0,13287855104,Energy,1954,Energy,0001841666
APO,2025,3492000000.0,460949000000.0,0.007575675400098492,6140.0,73864577024,Financial Services,1990,Financials,0001858681
APO,2024,4577000000.0,377895000000.0,0.012111830005689411,6140.0,73864577024,Financial Services,1990,Financials,0001858681
APO,2023,5047000000.0,313488000000.0,0.016099499821364775,6140.0,73864577024,Financial Services,1990,Financials,0001858681
APO,2022,-1961000000.0,257217000000.0,-0.007623912882896542,6140.0,73864577024,Financial Services,1990,Financials,0001858681
APO,2021,,,,6140.0,73864577024,Financial Services,1990,Financials,0001858681
AAPL,2025,112010000000.0,359241000000.0,0.3117962593356549,150000.0,3912147140608,Technology,1977,Information Technology,0000320193
AAPL,2024,93736000000.0,364980000000.0,0.25682503150857583,150000.0,3912147140608,Technology,1977,Information Technology,0000320193
AAPL,2023,96995000000.0,352583000000.0,0.27509834563776475,150000.0,3912147140608,Technology,1977,Information Technology,0000320193
AAPL,2022,99803000000.0,352755000000.0,0.2829244092925685,150000.0,3912147140608,Technology,1977,Information Technology,0000320193
AAPL,2021,,,,150000.0,3912147140608,Technology,1977,Information Technology,0000320193
AMAT,2025,6998000000.0,36299000000.0,0.1927876801013802,35500.0,312944164864,Technology,1967,Information Technology,0000006951
AMAT,2024,7177000000.0,34409000000.0,0.20857915080356884,35500.0,312944164864,Technology,1967,Information Technology,0000006951
AMAT,2023,6856000000.0,30729000000.0,0.22311171857203294,35500.0,312944164864,Technology,1967,Information Technology,0000006951
AMAT,2022,6525000000.0,26726000000.0,0.24414427897927113,35500.0,312944164864,Technology,1967,Information Technology,0000006951
AMAT,2021,,,,35500.0,312944164864,Technology,1967,Information Technology,0000006951
APP,2025,3333764000.0,7259610000.0,0.4592208121372911,876.0,159593201664,Communication Services,2012,Information Technology,0001751008
APP,2024,1579790000.0,5869259000.0,0.26916344976427176,876.0,159593201664,Communication Services,2012,Information Technology,0001751008
APP,2023,357211000.0,5359187000.0,0.06665395329552785,876.0,159593201664,Communication Services,2012,Information Technology,0001751008
APP,2022,-192746000.0,5847846000.0,-0.03296017029176213,876.0,159593201664,Communication Services,2012,Information Technology,0001751008
APP,2021,,,,876.0,159593201664,Communication Services,2012,Information Technology,0001751008
APTV,2025,165000000.0,23413000000.0,0.007047366847477897,140000.0,15269681152,Consumer Cyclical,1994,Consumer Discretionary,0001521332
APTV,2024,1787000000.0,23458000000.0,0.07617870236166766,140000.0,15269681152,Consumer Cyclical,1994,Consumer Discretionary,0001521332
APTV,2023,2938000000.0,24427000000.0,0.1202767429483768,140000.0,15269681152,Consumer Cyclical,1994,Consumer Discretionary,0001521332
APTV,2022,594000000.0,21884000000.0,0.02714311825991592,140000.0,15269681152,Consumer Cyclical,1994,Consumer Discretionary,0001521332
APTV,2021,,,,140000.0,15269681152,Consumer Cyclical,1994,Consumer Discretionary,0001521332
ACGL,2025,4399000000.0,79241000000.0,0.05551419088603122,8000.0,35217567744,Financial Services,1995,Financials,0000947484
ACGL,2024,4312000000.0,70906000000.0,0.06081290722928948,8000.0,35217567744,Financial Services,1995,Financials,0000947484
ACGL,2023,4443000000.0,58906000000.0,0.07542525379418055,8000.0,35217567744,Financial Services,1995,Financials,0000947484
ACGL,2022,1476000000.0,47990000000.0,0.030756407584913523,8000.0,35217567744,Financial Services,1995,Financials,0000947484
ACGL,2021,,,,8000.0,35217567744,Financial Services,1995,Financials,0000947484
ADM,2025,1078000000.0,52389000000.0,0.020576838649334784,40798.0,33650735104,Consumer Defensive,1902,Consumer Staples,0000007084
ADM,2024,1800000000.0,53271000000.0,0.0337894914681534,40798.0,33650735104,Consumer Defensive,1902,Consumer Staples,0000007084
ADM,2023,3483000000.0,54631000000.0,0.06375501089125223,40798.0,33650735104,Consumer Defensive,1902,Consumer Staples,0000007084
ADM,2022,4340000000.0,59774000000.0,0.07260681901830227,40798.0,33650735104,Consumer Defensive,1902,Consumer Staples,0000007084
ADM,2021,,,,40798.0,33650735104,Consumer Defensive,1902,Consumer Staples,0000007084
ARES,2025,527362000.0,28633369000.0,0.01841774190106655,3967.0,39657377792,Financial Services,1977,Financials,0001176948
ARES,2024,463742000.0,24884308000.0,0.01863592107926007,3967.0,39657377792,Financial Services,1977,Financials,0001176948
ARES,2023,474326000.0,24730500000.0,0.019179798224864035,3967.0,39657377792,Financial Services,1977,Financials,0001176948
